0		  0                         0
-0.102844        -0.00855362408037941      -0.0106674076232594
-0.200546	 -0.0427326617500494       -0.0537732366065029
-0.30339	 -0.10613475913123         -0.12900591660582
-0.401092	 -0.19241995307675         -0.22864965905319
-0.503936	 -0.310670523758739        -0.362897304992657
-0.601638	 -0.4490618740092          -0.517955402741791
-0.69934	 -0.61283830140019         -0.699373170311446
-0.802184	 -0.8126584244892          -0.920757933476125
-0.899886	 -1.02854100819968         -1.15183892987261
-1.00273	 -1.2832096045895          -1.42395551300433
-1.100432	 -1.55119834460492         -1.70630330525455
-1.203276	 -1.86071541429555         -2.02729561971501
-1.300978	 -2.18081031057227         -2.35341673625226
-1.403822	 -2.5451758535637          -2.71727759641362
-1.501524	 -2.91737690613081         -3.07817812988651


