0	0	0
-0.102844	-0.0478348957840353	-0.0455214668790234
-0.200546	-0.181684983428568	-0.175681638664841
-0.308532	-0.42974670114927	-0.418068611583266
-0.401092	-0.726043322123587	-0.708170576375323
-0.503936	-1.14594494365156	-1.11964788244389
-0.60678	-1.66148914536461	-1.62495992549451
-0.69934	-2.20749105187133	-2.15997194065724
-0.802184	-2.90563181857578	-2.84357034893328
-0.899886	-3.65845658676699	-3.57990485590996
-1.00273	-4.54572737216949	-4.44648118378076
-1.100432	-5.47926839860156	-5.35664507020832
-1.203276	-6.55799305485562	-6.40619931767388
-1.300978	-7.67469120025635	-7.49019258355236
-1.403822	-8.94765889481641	-8.72272475061268
-1.501524	-10.2503387017641	-9.98054739594205

